,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
0,$100 OG,0,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.271578812,,0.557309337,0.658570341,,0.541390221,0.978085871,1,,,0.353582944,,,,0.551632504,,,0.078722537,,,,1,0.700700878,,0.586763899,,,,0.629376588,hybrid
1,'98 Aloha White Widow,2,0,0.57,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.680412371,,0.711340206,0.907216495,,,,,,1,,1,,,,,,,0.618556701,,1,0.24,,,,,,,hybrid
2,1024,0,0,0.3,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686098655,0.206185567,0.123444598,0.812866506,,1,,,,,,,0.021726249,,1,,,,,0.123444598,,,0.827167981,0.724042773,0.256215888,,0.803380476,0.172832019,,,,sativa
3,13 Dawgs,0,0,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,0.666666667,0.285714286,,,,,0.285714286,,0.333333333,,1,0.666666667,0.285714286,0.333333333,,,1,,1,0.380952381,,,,,,0.666666667,,hybrid
4,22,0,0,0.54,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,0.673913043,,0.333333333,,0.666666667,,,,0.333333333,0.666666667,,0.695652174,,,,,,1,,,,0.52173913,,,,,hybrid
5,24k Gold,0,0,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.409387755,,0.38989899,1,0.66869648,0.392727273,,1,,,0.241632653,,,,0.950142721,0.244897959,,,,,0.808080808,0.922169363,,,0.538915319,,,0.303838384,,hybrid
6,3 Bears OG,1,0,0.93,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.838926174,0.677852349,0.5,0.677852349,1,,,,,,,,0.094339623,,,,,,1,1,,0.644295302,,,,0.5,indica
7,3 Kings,3,0,0.29,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.714630263,0.447902087,0.382663022,,,0.942923711,,,,1,,,0.599433815,0.555183229,,,0.566155809,,,0.603670441,,,0.725733784,1,0.633123219,,0.643855664,,,,,sativa
8,303 OG,0,0,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.268678161,,0.103225806,,,,0.747126437,,,0.525345622,,,0.051612903,,0.907834101,,0.981321839,,,,,,0.500768049,1,1,,0.827586207,,,0.944700461,,hybrid
9,3D CBD,2,0,0.34,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.276923077,0.6,,,,0.415384615,,0.6,,0.7,,,,,,,1,,0.769230769,,,,,0.507692308,1,,,,,,0.4,sativa
10,3X Crazy,1,0,0.71,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.459768745,0.057200201,,0.316009059,0.657415885,,,0.726997024,1,0.501106279,,0.174611139,,,,,,,0.155544405,,,,1,0.779552589,,0.496089876,,,,0.632018119,indica
11,3rd Coast Panama Chunk,0,0,0.55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,0.785714286,,0.24,,0.24,,,,0.892857143,,,,,,,1,,0.12,,,,1,,1,,,,,0.892857143,,hybrid
12,501st OG,3,0,0.709881964,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411144578,,0.013550136,,,,0.377008032,,,1,,,0.013550136,0.667011375,0.701137539,,0.736445783,0.033875339,,,,,,1,0.940020683,,0.633534137,,,0.742502585,,indica
13,5th Element,0,0,0.534549318,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.459962756,0.052398227,,0.620732464,0.773221117,,0.689944134,,1,,,,,,,0.519739862,0.193873438,,0.246271665,0.526702372,,,1,0.689944134,,0.896403979,,,,,hybrid
14,707 Headband,0,0,0.5,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.37772193,0.097835704,,,0.703212074,0.575467157,0.358348312,,0.83758291,,,,,,,0.617182403,0.092731233,,0.105492411,,,0.777935071,1,1,,0.823469639,,,,,hybrid
15,8 Ball Kush,1,0,1,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533081285,0.009057971,,,1,,,0.399468556,0.533081285,,,,,,,0.43489814,0.018115942,,0.009057971,0.41275465,,0.761814745,0.937112489,1,,,,,,0.52362949,indica
